STADTTLNAM,STADTTLNR,STADTBZNAM,STADTBZNR,GEMEINDE,SCALE,SHAPE_Area,mean_rel_lst
Ahlem,44,Ahlem-Badenstedt-Davenstedt,11,,5000,2864500.3348928,0.20269887031062694
Anderten,52,Misburg-Anderten,05,,5000,7973130.84651884,0.5055851574997519
Badenstedt,38,Ahlem-Badenstedt-Davenstedt,11,,5000,4475493.11226465,-0.040709673739115715
Bemerode,47,Kirchrode-Bemerode-Wülferode,06,,5000,8800706.82812545,0.5551410543145892
Bornum,39,Ricklingen,09,,5000,989071.81605112,4.399868377613018
Bothfeld,22,Bothfeld-Vahrenheide,03,,5000,6309382.77084738,1.1627843107885951
Brink-Hafen,49,Nord,13,,5000,1803917.50975599,7.0588130611047575
Bult,07,Südstadt-Bult,07,,5000,1995915.74380596,2.041214869764758
Burg,15,Herrenhausen-Stöcken,12,,5000,1282751.88402831,0.5223518710461974
Calenberger Neustadt,02,Mitte,01,,5000,2065846.74120621,1.6997302044719618
Davenstedt,37,Ahlem-Badenstedt-Davenstedt,11,,5000,2511662.46010672,0.4003513904851843
Döhren,29,Döhren-Wülfel,08,,5000,3296668.36214993,-0.057993459952115245
Groß-Buchholz,25,Buchholz-Kleefeld,04,,5000,7839342.49505723,0.9154146097444595
Hainholz,13,Nord,13,,5000,2449475.39198467,3.679393557033478
Heideviertel,27,Buchholz-Kleefeld,04,,5000,1481416.66270238,1.1131201682063931
Herrenhausen,14,Herrenhausen-Stöcken,12,,5000,2925112.91574509,-0.5244673245837532
Isernhagen-Süd,48,Bothfeld-Vahrenheide,03,,5000,8659184.38414411,-0.7743835434501705
Kirchrode,28,Kirchrode-Bemerode-Wülferode,06,,5000,6134234.22300841,-1.2827346609679466
Lahe,24,Bothfeld-Vahrenheide,03,,5000,7980146.15308862,-3.2004989455719226
Ledeburg,17,Herrenhausen-Stöcken,12,,5000,2116720.7827544,1.793660666629819
Leinhausen,16,Herrenhausen-Stöcken,12,,5000,1188234.56618681,3.007102151056017
Limmer,36,Linden-Limmer,10,,5000,2494085.65369635,0.8693677140527996
Linden-Mitte,34,Linden-Limmer,10,,5000,2195149.50396444,3.6009006463702917
Linden-Nord,33,Linden-Limmer,10,,5000,972216.466073429,0.8047858888702706
Linden-Süd,35,Linden-Limmer,10,,5000,2522609.99171304,2.1829537954869522
List,10,Vahrenwald-List,02,,5000,5005118.8345437,2.301139096019199
Marienwerder,19,Herrenhausen-Stöcken,12,,5000,3975026.13082436,-0.43185767461730507
Misburg-Nord,50,Misburg-Anderten,05,,5000,13883250.5841035,-3.9683249977629202
Misburg-Süd,51,Misburg-Anderten,05,,5000,6268871.51120064,-0.5126212469317579
Mitte,01,Mitte,01,,5000,2422335.71452357,4.35329991021959
Mittelfeld,32,Döhren-Wülfel,08,,5000,5331215.23497658,4.427210656217312
Mühlenberg,42,Ricklingen,09,,5000,1204944.94956275,0.4051464137461096
Nordhafen,20,Herrenhausen-Stöcken,12,,5000,2271446.28219995,0.15473747206740995
Nordstadt,03,Nord,13,,5000,3641321.76798756,1.5157963444866027
Oberricklingen,41,Ricklingen,09,,5000,2762643.74310935,0.6667170614864517
Oststadt,09,Mitte,01,,5000,851812.7214720809,3.128918515566795
Ricklingen,40,Ricklingen,09,,5000,4776245.24078827,-1.5830824195610376
Sahlkamp,21,Bothfeld-Vahrenheide,03,,5000,3138912.71860389,1.6290296790292302
Seelhorst,30,Döhren-Wülfel,08,,5000,3139877.88341339,-2.0107979833856007
Stöcken,18,Herrenhausen-Stöcken,12,,5000,7367083.872298661,2.159626782214076
Südstadt,04,Südstadt-Bult,07,,5000,5176282.353052019,-0.1713843529689143
Vahrenheide,12,Bothfeld-Vahrenheide,03,,5000,4669541.28568942,3.0101435856641956
Vahrenwald,11,Vahrenwald-List,02,,5000,3268546.68711284,3.040280528618439
Vinnhorst,45,Nord,13,,5000,3022408.68434901,1.3040087393735575
Waldhausen,05,Döhren-Wülfel,08,,5000,725972.0105530939,-1.3998765543419722
Waldheim,06,Döhren-Wülfel,08,,5000,1093131.50882653,-3.5590437371854478
Wettbergen,43,Ricklingen,09,,5000,4984313.49695275,-0.05723618924830021
Wülfel,31,Döhren-Wülfel,08,,5000,2944435.49805203,-1.2000130569555552
Wülferode,53,Kirchrode-Bemerode-Wülferode,06,,5000,8899746.93208252,-2.9307621886575816
Zoo,08,Mitte,01,,5000,5421081.75181212,-4.37550292412152
Kleefeld,26,Buchholz-Kleefeld,04,,5000,4640240.8974397,-3.2190996116419512
